PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;
"149691";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Tetraselmis";;;"convolutae";;;;"118075";"141278";;"(Parke & Manton) R.E.Norris, T.Hori & Chihara";"Gyldig";"Ingen_bistatus";"2/9/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;109651;149691;"Nei";
"149692";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Tetraselmis";;;"cordiformis";;;;"118075";"141279";;"(H.J.Carter) F.Stein";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;109652;149692;"Ja";
"149693";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Tetraselmis";;;"marina";;;;"118075";"141280";;"(Cienk.) R.E.Norris, T.Hori & Chihara";"Gyldig";"Ingen_bistatus";"2/9/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;109653;149693;"Nei";
"149694";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Tetraselmis";;;"subcordiformis";;;;"118075";"141281";;"(Wille) Butcher";"Gyldig";"Ingen_bistatus";"2/9/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;109654;149694;"Nei";
"149695";"Plantae";;"Chlorophyta";;;"Chlorodendrophyceae";;;;;"Chlorodendrales";;;;"Chlorodendraceae";;;;"Tetraselmis";;;"suecica";;;;"118075";"141282";;"(Kylin) Butcher";"Gyldig";"Ingen_bistatus";"2/9/2015 12:00:00 AM";"2/9/2015 12:00:00 AM";;;;;109655;149695;"Nei";
"1232";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Mamiellales";;;;;;;;;;;;;;;"147214";"1232";"4/30/2009 12:00:00 AM";"Moestrup";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"4/30/2009 12:00:00 AM";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1232;1232;"Nei";
"147221";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Dolichomastigales";;;;;;;;;;;;;;;"147214";"138806";;"B.Marin & Melkonian";"Gyldig";"Ingen_bistatus";"1/30/2015 12:00:00 AM";"1/30/2015 12:00:00 AM";;;;;107152;147221;"Nei";
"147227";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Monomastigales";;;;;;;;;;;;;;;"147214";"138812";;"R.E.Norris ex Melkonian & B.Marin";"Gyldig";"Ingen_bistatus";"1/30/2015 12:00:00 AM";"1/30/2015 12:00:00 AM";;;;;107158;147227;"Nei";
"118133";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Monomastigales";;;;"Monomastigaceae";;;;;;;;;;;"147227";"109440";"9/11/2009 12:00:00 AM";"Hub.-Pest. ex B.Marin & Melkonian";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"9/11/2009 12:00:00 AM";;;;;76727;118133;"Nei";
"118134";"Plantae";;"Chlorophyta";;;"Mamiellophyceae";;;;;"Monomastigales";;;;"Monomastigaceae";;;;"Monomastix";;;;;;;"118133";"109441";"9/11/2009 12:00:00 AM";"Scherff.";"Gyldig";"Ingen_bistatus";"2/12/2015 12:00:00 AM";"9/11/2009 12:00:00 AM";;;;"F, C";76728;118134;"Nei";
