kingdom	phylum	class_name	order	family	genus	species	subspecies	variety	forma	author	status	status-2	nomac_scientific_name	nomac_rank	nomac_parent	nomac_classification	dyntaxa_id	dyntaxa_scientific_name	dyntaxa_url
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae							Gyldig	Ingen_bistatus	Tetramitaceae	Family	Incertae sedis	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Tetramitaceae	2003784.0	Tetramitaceae	https://www.dyntaxa.se/taxon/info/2003784
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus					Perty	Gyldig	Ingen_bistatus	Tetramitus	Genus	Tetramitaceae	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Tetramitaceae - Tetramitus	1015152.0	Tetramitus	https://www.dyntaxa.se/taxon/info/1015152
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus	descissus				Perty	Gyldig	Ingen_bistatus	Tetramitus descissus	Species	Tetramitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Tetramitaceae - Tetramitus descissus	257048.0	Tetramitus descissus	https://www.dyntaxa.se/taxon/info/257048
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus	pyriformis				G.A. Klebs	Gyldig	Ingen_bistatus	Tetramitus pyriformis	Species	Tetramitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Tetramitaceae - Tetramitus pyriformis	257049.0	Tetramitus pyriformis	https://www.dyntaxa.se/taxon/info/257049
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus	rostratus				Perty	Gyldig	Ingen_bistatus	Tetramitus rostratus	Species	Tetramitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Tetramitaceae - Tetramitus rostratus	257050.0	Tetramitus rostratus	https://www.dyntaxa.se/taxon/info/257050
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Tetramitaceae	Tetramitus	rotundatus				Skuja	Gyldig	Ingen_bistatus	Tetramitus rotundatus	Species	Tetramitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Tetramitaceae - Tetramitus rotundatus	257051.0	Tetramitus rotundatus	https://www.dyntaxa.se/taxon/info/257051
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae	Paramastix					Skuja, 1948	Gyldig	Ingen_bistatus	Paramastix	Genus	Paramastigaceae	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Paramastigaceae - Paramastix	1015151.0	Paramastix	https://www.dyntaxa.se/taxon/info/1015151
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae	Paramastix	conifera				Skuja	Gyldig	Ingen_bistatus	Paramastix conifera	Species	Paramastix	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Paramastigaceae - Paramastix conifera	257045.0	Paramastix conifera	https://www.dyntaxa.se/taxon/info/257045
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae	Paramastix	lata				Skuja	Gyldig	Ingen_bistatus	Paramastix lata	Species	Paramastix	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Paramastigaceae - Paramastix lata	257046.0	Paramastix lata	https://www.dyntaxa.se/taxon/info/257046
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Paramastigaceae	Paramastix	truncata				Skuja	Gyldig	Ingen_bistatus	Paramastix truncata	Species	Paramastix	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Paramastigaceae - Paramastix truncata	257047.0	Paramastix truncata	https://www.dyntaxa.se/taxon/info/257047
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Hexamitus					Dujardin	Gyldig	Ingen_bistatus	Hexamitus	Genus	Distomataceae	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Hexamitus	1015148.0	Hexamitus	https://www.dyntaxa.se/taxon/info/1015148
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trepomonas					Dujardin, 1841	Gyldig	Ingen_bistatus	Trepomonas	Genus	Distomataceae	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trepomonas	1015149.0	Trepomonas	https://www.dyntaxa.se/taxon/info/1015149
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas					Klebs, 1892	Gyldig	Ingen_bistatus	Trigonomonas	Genus	Distomataceae	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trigonomonas	1015150.0	Trigonomonas	https://www.dyntaxa.se/taxon/info/1015150
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	aechme				Skuja	Gyldig	Ingen_bistatus	Trigonomonas aechme	Species	Trigonomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trigonomonas aechme	257040.0	Trigonomonas aechme	https://www.dyntaxa.se/taxon/info/257040
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	compressa				G.A. Klebs	Gyldig	Ingen_bistatus	Trigonomonas compressa	Species	Trigonomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trigonomonas compressa	257041.0	Trigonomonas compressa	https://www.dyntaxa.se/taxon/info/257041
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	inflata				Skuja	Gyldig	Ingen_bistatus	Trigonomonas inflata	Species	Trigonomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trigonomonas inflata	257042.0	Trigonomonas inflata	https://www.dyntaxa.se/taxon/info/257042
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	intermittens				Skuja	Gyldig	Ingen_bistatus	Trigonomonas intermittens	Species	Trigonomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trigonomonas intermittens	257043.0	Trigonomonas intermittens	https://www.dyntaxa.se/taxon/info/257043
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trigonomonas	tortuosa				Skuja	Gyldig	Ingen_bistatus	Trigonomonas tortuosa	Species	Trigonomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trigonomonas tortuosa	257044.0	Trigonomonas tortuosa	https://www.dyntaxa.se/taxon/info/257044
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trepomonas	agilis				Dujard.	Gyldig	Ingen_bistatus	Trepomonas agilis	Species	Trepomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trepomonas agilis	257037.0	Trepomonas agilis	https://www.dyntaxa.se/taxon/info/257037
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trepomonas	latecapitata				Skuja	Gyldig	Ingen_bistatus	Trepomonas latecapitata	Species	Trepomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trepomonas latecapitata	257038.0	Trepomonas latecapitata	https://www.dyntaxa.se/taxon/info/257038
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Trepomonas	rotans				G.A. Klebs	Gyldig	Ingen_bistatus	Trepomonas rotans	Species	Trepomonas	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Trepomonas rotans	257039.0	Trepomonas rotans	https://www.dyntaxa.se/taxon/info/257039
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Hexamitus	crassus				G.A. Klebs	Gyldig	Ingen_bistatus	Hexamitus crassus	Species	Hexamitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Hexamitus crassus	257034.0	Hexamitus crassus	https://www.dyntaxa.se/taxon/info/257034
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Hexamitus	inflatus				Dujard.	Gyldig	Ingen_bistatus	Hexamitus inflatus	Species	Hexamitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Hexamitus inflatus	257035.0	Hexamitus inflatus	https://www.dyntaxa.se/taxon/info/257035
Plantae	Chlorophyta	Incertae sedis	Incertae sedis	Distomataceae	Hexamitus	pusillus				G.A. Klebs	Gyldig	Ingen_bistatus	Hexamitus pusillus	Species	Hexamitus	Plantae - Chlorophyta - Incertae sedis - Incertae sedis - Distomataceae - Hexamitus pusillus	257036.0	Hexamitus pusillus	https://www.dyntaxa.se/taxon/info/257036
