scientific_name	rank	author	parent	classification	source	dyntaxa_id	dyntaxa_scientific_name	dyntaxa_url
Gloeocapsopsis magma	Species	(Brébisson) Komárek & Anagnostidis	Gloeocapsopsis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Gloeocapsopsis magma	Artsnavnebase 20170303	263435	Gloeocapsopsis magma	https://www.dyntaxa.se/taxon/info/263435
Gloeocapsopsis pleurocapsoides	Species	(Nov??ek) Komarek et Anagnostidis	Gloeocapsopsis	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Chroococcaceae - Gloeocapsopsis pleurocapsoides	Artsnavnebase 20170303			
Cyanobacteriaceae	Family		Chroococcales	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae	Artsnavnebase 20170303	2003107	Cyanobacteriaceae	https://www.dyntaxa.se/taxon/info/2003107
Cyanothece	Genus	Komárek	Cyanobacteriaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Cyanothece	Artsnavnebase 20170303	1016254	Cyanothece	https://www.dyntaxa.se/taxon/info/1016254
Cyanothece aeruginosa	Species	(Nägeli) Komárek	Cyanothece	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Cyanothece aeruginosa	Artsnavnebase 20170303	263397	Cyanothece aeruginosa	https://www.dyntaxa.se/taxon/info/263397
Cyanothece major	Species	(Schröt.) Koárek	Cyanothece	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Cyanothece major	Artsnavnebase 20170303	263398	Cyanothece major	https://www.dyntaxa.se/taxon/info/263398
Gloeothece	Genus	Nägeli	Cyanobacteriaceae	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Gloeothece	Artsnavnebase 20170303	1015238	Gloeothece	https://www.dyntaxa.se/taxon/info/1015238
Gloeothece confluens	Species	Nägeli	Gloeothece	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Gloeothece confluens	Artsnavnebase 20170303	263399	Gloeothece confluens	https://www.dyntaxa.se/taxon/info/263399
Gloeothece fusco-lutea	Species	Nägeli	Gloeothece	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Gloeothece fusco-lutea	Artsnavnebase 20170303	263401	Gloeothece fusco-lutea	https://www.dyntaxa.se/taxon/info/263401
Gloeothece incerta	Species	Skuja	Gloeothece	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Gloeothece incerta	Artsnavnebase 20170303	263400	Gloeothece incerta	https://www.dyntaxa.se/taxon/info/263400
Gloeothece linearis	Species	Nägeli	Gloeothece	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Gloeothece linearis	Artsnavnebase 20170303	257642	Gloeothece linearis	https://www.dyntaxa.se/taxon/info/257642
Gloeothece membranaceae	Species	(Rabenhorst) Bornet	Gloeothece	Bacteria - Cyanobacteria - Cyanophyceae - Chroococcales - Cyanobacteriaceae - Gloeothece membranaceae	Artsnavnebase 20170303			
