kingdom	phylum	class_name	order	family	genus	species	subspecies	variety	forma	author	status	status-2	nomac_scientific_name	nomac_rank	nomac_parent	nomac_classification
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Ophiocytiaceae						Lemmerm.	Gyldig	Ingen_bistatus	Ophiocytiaceae	Family	Mischococcales	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Ophiocytiaceae
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae						Pascher	Gyldig	Ingen_bistatus	Pleurochloridaceae	Family	Mischococcales	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Pleurochloridaceae
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Botrydiopsidaceae							Gyldig	Ingen_bistatus	Botrydiopsidaceae	Family	Mischococcales	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Botrydiopsidaceae
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Characiopsidaceae						Pascher	Gyldig	Ingen_bistatus	Characiopsidaceae	Family	Mischococcales	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Characiopsidaceae
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Chloropediaceae						Pascher	Gyldig	Ingen_bistatus	Chloropediaceae	Family	Mischococcales	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Chloropediaceae
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Gloeobotrydaceae							Gyldig	Ingen_bistatus	Gloeobotrydaceae	Family	Mischococcales	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Gloeobotrydaceae
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Gloeopodiaceae						Pascher	Gyldig	Ingen_bistatus	Gloeopodiaceae	Family	Mischococcales	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Gloeopodiaceae
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Mischococcaceae						Pascher	Gyldig	Ingen_bistatus	Mischococcaceae	Family	Mischococcales	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Mischococcaceae
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Trypanochloridaceae						Geitler ex Pascher	Gyldig	Ingen_bistatus	Trypanochloridaceae	Family	Mischococcales	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Trypanochloridaceae
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Gloeobotrydaceae	Gloeobotrys						Gyldig	Ingen_bistatus	Gloeobotrys	Genus	Gloeobotrydaceae	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Gloeobotrydaceae - Gloeobotrys
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Gloeobotrydaceae	Gloeobotrys	limneticus				(G.M. Smith) Pascher	Gyldig	Ingen_bistatus	Gloeobotrys limneticus	Species	Gloeobotrys	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Gloeobotrydaceae - Gloeobotrys limneticus
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Characiopsidaceae	Characiopsis					Borzì	Gyldig	Ingen_bistatus	Characiopsis	Genus	Characiopsidaceae	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Characiopsidaceae - Characiopsis
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Characiopsidaceae	Characiopsis	longipes				(Rabenhorst) Borzì	Gyldig	Ingen_bistatus	Characiopsis longipes	Species	Characiopsis	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Characiopsidaceae - Characiopsis longipes
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae	Goniochloris					Geitler	Gyldig	Ingen_bistatus	Goniochloris	Genus	Pleurochloridaceae	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Pleurochloridaceae - Goniochloris
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae	Isthmochloron					Skuja	Gyldig	Ingen_bistatus	Isthmochloron	Genus	Pleurochloridaceae	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Pleurochloridaceae - Isthmochloron
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae	Meringosphaera					Lohmann	Gyldig	Ingen_bistatus	Meringosphaera	Genus	Pleurochloridaceae	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Pleurochloridaceae - Meringosphaera
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae	Pseudopolyedriopsis					Hollerb.	Gyldig	Ingen_bistatus	Pseudopolyedriopsis	Genus	Pleurochloridaceae	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Pleurochloridaceae - Pseudopolyedriopsis
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae	Tetraedriella						Gyldig	Ingen_bistatus	Tetraedriella	Genus	Pleurochloridaceae	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Pleurochloridaceae - Tetraedriella
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae	Pseudogoniochloris					Krienitz, E.Hegewald, O.Reymond & Peschke	Gyldig	Ingen_bistatus	Pseudogoniochloris	Genus	Pleurochloridaceae	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Pleurochloridaceae - Pseudogoniochloris
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae	Tetraëdriella					Pascher	Gyldig	Ingen_bistatus	Tetraëdriella	Genus	Pleurochloridaceae	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Pleurochloridaceae - Tetraëdriella
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae	Trachydiscus					H.Ettl	Gyldig	Ingen_bistatus	Trachydiscus	Genus	Pleurochloridaceae	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Pleurochloridaceae - Trachydiscus
Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae	Tetraplektron					Fott	Gyldig	Ingen_bistatus	Tetraplektron	Genus	Pleurochloridaceae	Chromista - Ochrophyta - Xanthophyceae - Mischococcales - Pleurochloridaceae - Tetraplektron
