scientific_name	rank	author	parent	classification	source
Goniomonas amphinema	Species	Larsen & Patterson 1990	Goniomonas	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cryptomonadaceae - Goniomonas amphinema	Artsnavnebase 20170303
Goniomonas pacifica	Species	Larsen & Patterson, 1990	Goniomonas	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cryptomonadaceae - Goniomonas pacifica	Artsnavnebase 20170303
Goniomonas truncata	Species	(Fresenius) Stein	Goniomonas	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cryptomonadaceae - Goniomonas truncata	Artsnavnebase 20170303
Isoselmis	Genus	R.W. Butcher	Cryptomonadaceae	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cryptomonadaceae - Isoselmis	Artsnavnebase 20170303
Isoselmis obconica	Species	Butcher	Isoselmis	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cryptomonadaceae - Isoselmis obconica	Artsnavnebase 20170303
Leucocryptos	Genus	Butcher	Cryptomonadaceae	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cryptomonadaceae - Leucocryptos	Artsnavnebase 20170303
Leucocryptos marina	Species	(Braarud) Butcher 1967	Leucocryptos	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cryptomonadaceae - Leucocryptos marina	Artsnavnebase 20170303
Plagioselmis	Genus	Butcher 1967	Cryptomonadaceae	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cryptomonadaceae - Plagioselmis	Artsnavnebase 20170303
Plagioselmis lacustris	Species	(Pasch. & Ruttn.) Javornicky	Plagioselmis	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cryptomonadaceae - Plagioselmis lacustris	Artsnavnebase 20170303
Plagioselmis nannoplanktica	Species	(Skuja) Novarino et al. 1994	Plagioselmis	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cryptomonadaceae - Plagioselmis nannoplanktica	Artsnavnebase 20170303
Plagioselmis prolonga	Species	Butcher 1967	Plagioselmis	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cryptomonadaceae - Plagioselmis prolonga	Artsnavnebase 20170303
Cyathomonadaceae	Family	E.G.Pringsh.	Cryptomonadales	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cyathomonadaceae	Artsnavnebase 20170303
Cyathomonas	Genus	Fromentel	Cyathomonadaceae	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cyathomonadaceae - Cyathomonas	Artsnavnebase 20170303
Cyathomonas truncata	Species		Cyathomonas	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Cyathomonadaceae - Cyathomonas truncata	Artsnavnebase 20170303
Hemiselmidaceae	Family	Butcher ex P.C. Silva	Cryptomonadales	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hemiselmidaceae	Artsnavnebase 20170303
Hemiselmis	Genus	Parke 1949	Hemiselmidaceae	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hemiselmidaceae - Hemiselmis	Artsnavnebase 20170303
Hemiselmis amylifera	Species	Butcher, 1967	Hemiselmis	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hemiselmidaceae - Hemiselmis amylifera	Artsnavnebase 20170303
Hemiselmis anomala	Species	Butcher	Hemiselmis	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hemiselmidaceae - Hemiselmis anomala	Artsnavnebase 20170303
Hemiselmis brunnescens	Species	Butcher	Hemiselmis	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hemiselmidaceae - Hemiselmis brunnescens	Artsnavnebase 20170303
Hemiselmis cyclopea	Species	Butcher	Hemiselmis	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hemiselmidaceae - Hemiselmis cyclopea	Artsnavnebase 20170303
Hemiselmis oculata	Species	Butcher, 1967	Hemiselmis	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hemiselmidaceae - Hemiselmis oculata	Artsnavnebase 20170303
Hemiselmis rufescens	Species	Parke	Hemiselmis	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hemiselmidaceae - Hemiselmis rufescens	Artsnavnebase 20170303
Hemiselmis simplex	Species	Butcher	Hemiselmis	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hemiselmidaceae - Hemiselmis simplex	Artsnavnebase 20170303
Hemiselmis virescens	Species	Droop	Hemiselmis	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hemiselmidaceae - Hemiselmis virescens	Artsnavnebase 20170303
Planonephros	Genus		Hemiselmidaceae	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hemiselmidaceae - Planonephros	Artsnavnebase 20170303
Planonephros parvula	Species	(Skuja) T.A. Chr.	Planonephros	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hemiselmidaceae - Planonephros parvula	Artsnavnebase 20170303
Hilleaceae	Family	Pascher 1967	Cryptomonadales	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hilleaceae	Artsnavnebase 20170303
Hillea	Genus	Schiller, 1925	Hilleaceae	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hilleaceae - Hillea	Artsnavnebase 20170303
Hillea marina	Genus	Butcher, 1952	Hilleaceae	Chromista - Cryptophyta - Cryptophyceae - Cryptomonadales - Hilleaceae - Hillea marina	Artsnavnebase 20170303
Goniomonadales	Order		Cryptophyceae	Chromista - Cryptophyta - Cryptophyceae - Goniomonadales	Artsnavnebase 20170303
Goniomonadaceae	Family	Hill 1991 b	Goniomonadales	Chromista - Cryptophyta - Cryptophyceae - Goniomonadales - Goniomonadaceae	Artsnavnebase 20170303
Incertae sedis	Order		Cryptophyceae	Chromista - Cryptophyta - Cryptophyceae - Incertae sedis	Artsnavnebase 20170303
Incertae sedis	Family		Incertae sedis	Chromista - Cryptophyta - Cryptophyceae - Incertae sedis - Incertae sedis	Artsnavnebase 20170303
Cryptaulax	Genus		Incertae sedis	Chromista - Cryptophyta - Cryptophyceae - Incertae sedis - Incertae sedis - Cryptaulax	Artsnavnebase 20170303
Cryptaulax conoidea	Species	Skuja	Cryptaulax	Chromista - Cryptophyta - Cryptophyceae - Incertae sedis - Incertae sedis - Cryptaulax conoidea	Artsnavnebase 20170303
Cryptaulax marina	Species	Throndsen, 1969	Cryptaulax	Chromista - Cryptophyta - Cryptophyceae - Incertae sedis - Incertae sedis - Cryptaulax marina	Artsnavnebase 20170303
Cryptaulax vulgaris	Species	Skuja	Cryptaulax	Chromista - Cryptophyta - Cryptophyceae - Incertae sedis - Incertae sedis - Cryptaulax vulgaris	Artsnavnebase 20170303
Pyrenomonadales	Order	G.Novarino & I.A.N.Lucas	Cryptophyceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales	Artsnavnebase 20170303
Chroomonadaceae	Family	Clay, Kugrens & Lee 1999	Pyrenomonadales	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae	Artsnavnebase 20170303
Chroomonas	Genus	Hansgirg 1885	Chroomonadaceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas	Artsnavnebase 20170303
Chroomonas acuta	Species	Butcher	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas acuta	Artsnavnebase 20170303
Chroomonas baltica	Species	(Büttner) N. Carter, 1937	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas baltica	Artsnavnebase 20170303
Chroomonas coerulea	Species	(Geitler) Skuja	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas coerulea	Artsnavnebase 20170303
Chroomonas collegionis	Species	Butcher, 1967	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas collegionis	Artsnavnebase 20170303
Chroomonas diplococca	Species	Butcher, 1967	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas diplococca	Artsnavnebase 20170303
Chroomonas dispersa	Species	Butcher, 1967	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas dispersa	Artsnavnebase 20170303
Chroomonas extensa	Species	Butcher, 1967	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas extensa	Artsnavnebase 20170303
Chroomonas limnetica	Species		Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas limnetica	Artsnavnebase 20170303
Chroomonas mesostigmatica	Species	Butcher, 1967	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas mesostigmatica	Artsnavnebase 20170303
Chroomonas monococca	Species	Butcher, 1967	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas monococca	Artsnavnebase 20170303
Chroomonas nordstedtii	Species	Hansg.	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas nordstedtii	Artsnavnebase 20170303
Chroomonas placoidea	Species	Butcher	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas placoidea	Artsnavnebase 20170303
Chroomonas plurococca	Species	Butcher, 1967	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas plurococca	Artsnavnebase 20170303
Chroomonas reflexa	Species	Kisselew	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas reflexa	Artsnavnebase 20170303
Chroomonas vectensis	Species	N. Carter, 1937	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas vectensis	Artsnavnebase 20170303
Chroomonas virescens	Species	(Butcher) Butcher, 1967	Chroomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Chroomonas virescens	Artsnavnebase 20170303
Falcomonas	Genus	Hill 1991 c	Chroomonadaceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Falcomonas	Artsnavnebase 20170303
Falcomonas daucoides	Species	D.R.A.Hill	Falcomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Falcomonas daucoides	Artsnavnebase 20170303
Komma	Genus	D.R.A.Hill	Chroomonadaceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Komma	Artsnavnebase 20170303
Komma caudata	Species	(Geitler) Hill	Komma	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Chroomonadaceae - Komma caudata	Artsnavnebase 20170303
Geminigeraceae	Family	B.L.Clay, P.Kugrens & R.E.Lee	Pyrenomonadales	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Geminigeraceae	Artsnavnebase 20170303
Geminigera	Genus	Hill 1991 a	Geminigeraceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Geminigeraceae - Geminigera	Artsnavnebase 20170303
Geminigera cryophila	Species	(Taylor & Lee) Hill	Geminigera	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Geminigeraceae - Geminigera cryophila	Artsnavnebase 20170303
Guillardia	Genus	Hill & Wetherbee	Geminigeraceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Geminigeraceae - Guillardia	Artsnavnebase 20170303
Guillardia theta	Species	Hill & Wetherbee	Guillardia	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Geminigeraceae - Guillardia theta	Artsnavnebase 20170303
Hanusia	Genus	J.A.Deane, D.R.A.Hill, S.J.Brett, & McFadden	Geminigeraceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Geminigeraceae - Hanusia	Artsnavnebase 20170303
Hanusia phi	Species	Deane et al.	Hanusia	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Geminigeraceae - Hanusia phi	Artsnavnebase 20170303
Proteomonas	Genus	D.R.A.Hill & Wetherbee	Geminigeraceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Geminigeraceae - Proteomonas	Artsnavnebase 20170303
Teleaulax	Genus	Hill	Geminigeraceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Geminigeraceae - Teleaulax	Artsnavnebase 20170303
Teleaulax acuta	Species	(Butcher) Hill	Teleaulax	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Geminigeraceae - Teleaulax acuta	Artsnavnebase 20170303
Teleaulax amphioxeia	Species	(Conrad) Hill	Teleaulax	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Geminigeraceae - Teleaulax amphioxeia	Artsnavnebase 20170303
Pyrenomonadaceae	Family	Novarino & Lucas	Pyrenomonadales	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae	Artsnavnebase 20170303
Pyrenomonas	Genus	Santore	Pyrenomonadaceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Pyrenomonas	Artsnavnebase 20170303
Rhinomonas	Genus	D.R.A.Hill & Wetherbee	Pyrenomonadaceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhinomonas	Artsnavnebase 20170303
Rhinomonas fragarioides	Species	(Butcher) D.R.A.Hill & Wetherbee	Rhinomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhinomonas fragarioides	Artsnavnebase 20170303
Rhinomonas fulva	Species	(Butcher) Hill & Wetherbee	Rhinomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhinomonas fulva	Artsnavnebase 20170303
Rhinomonas lateralis	Species	(Butcher) D.R.A.Hill & Wetherbee	Rhinomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhinomonas lateralis	Artsnavnebase 20170303
Rhinomonas pauca	Species	D.R.A.Hill & Wetherbee	Rhinomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhinomonas pauca	Artsnavnebase 20170303
Rhinomonas reticulata	Species	(Lucas) Novarrino	Rhinomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhinomonas reticulata	Artsnavnebase 20170303
Rhodomonas	Genus	Karsten	Pyrenomonadaceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas	Artsnavnebase 20170303
Rhodomonas abbreviata	Species	Butcher ex D.R.A.Hill & Wetherbee	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas abbreviata	Artsnavnebase 20170303
Rhodomonas atrorosea	Species	Butcher ex D.R.A.Hill & Wetherbee	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas atrorosea	Artsnavnebase 20170303
Rhodomonas baltica	Species	Karsten (sensu Zimmermann)	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas baltica	Artsnavnebase 20170303
Rhodomonas chrysoidea	Species	Butcher ex D.R.A.Hill & Wetherbee	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas chrysoidea	Artsnavnebase 20170303
Rhodomonas duplex	Species	D.R.A.Hill & Wetherbee	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas duplex	Artsnavnebase 20170303
Rhodomonas falcata	Species	Butcher ex D.R.A.Hill & Wetherbee	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas falcata	Artsnavnebase 20170303
Rhodomonas heteromorpha	Species	Butcher ex D.R.A.Hill & Wetherbee	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas heteromorpha	Artsnavnebase 20170303
Rhodomonas lacustris	Species	Pascher et Ruttner	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas lacustris	Artsnavnebase 20170303
Rhodomonas lacustris var. lacustris	Variety		lacustris	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas lacustris var. lacustris	Artsnavnebase 20170303
Rhodomonas lens	Species	Pascher 1913	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas lens	Artsnavnebase 20170303
Rhodomonas maculata	Species	Butcher ex D.R.A.Hill & Wetherbee	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas maculata	Artsnavnebase 20170303
Rhodomonas marina	Species	(Dangeard) Lemmermann	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas marina	Artsnavnebase 20170303
Rhodomonas minuta	Species	Skuja 1948	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas minuta	Artsnavnebase 20170303
Rhodomonas nannoplanctica	Species	(Skuja) G.Novarino, I.A.N.Lucas & S.Morrall	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas nannoplanctica	Artsnavnebase 20170303
Rhodomonas pusilla	Species	(H.Bachm.) Javorn.	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas pusilla	Artsnavnebase 20170303
Rhodomonas salina	Species	(Wislouch) Hill & Wwtherbee	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas salina	Artsnavnebase 20170303
Rhodomonas stigmatica	Species	(Wislouch) D.R.A.Hill	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas stigmatica	Artsnavnebase 20170303
Rhodomonas tenuis	Species	Skuja	Rhodomonas	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Rhodomonas tenuis	Artsnavnebase 20170303
Storeatula	Genus	Hill 1991	Pyrenomonadaceae	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Storeatula	Artsnavnebase 20170303
Storeatula major	Species	(Butcher) Hill	Storeatula	Chromista - Cryptophyta - Cryptophyceae - Pyrenomonadales - Pyrenomonadaceae - Storeatula major	Artsnavnebase 20170303
Tetragonidiales	Order	Kristiansen	Cryptophyceae	Chromista - Cryptophyta - Cryptophyceae - Tetragonidiales	Artsnavnebase 20170303
Incertae sedis	Class		Cryptophyta	Chromista - Cryptophyta - Incertae sedis	Artsnavnebase 20170303
Incertae sedis	Order		Incertae sedis	Chromista - Cryptophyta - Incertae sedis - Incertae sedis	Artsnavnebase 20170303
Katablepharidaceae	Family		Incertae sedis	Chromista - Cryptophyta - Incertae sedis - Incertae sedis - Katablepharidaceae	Artsnavnebase 20170303
Katablepharis	Genus	Skuja, 1939	Katablepharidaceae	Chromista - Cryptophyta - Incertae sedis - Incertae sedis - Katablepharidaceae - Katablepharis	Artsnavnebase 20170303
Katablepharis ovalis	Species	Skuja 1948	Katablepharis	Chromista - Cryptophyta - Incertae sedis - Incertae sedis - Katablepharidaceae - Katablepharis ovalis	Artsnavnebase 20170303
Katablepharis remigera	Species	(Vørs) Clay & Kugrens, 1999	Katablepharis	Chromista - Cryptophyta - Incertae sedis - Incertae sedis - Katablepharidaceae - Katablepharis remigera	Artsnavnebase 20170303
Haptophyta	Phylum	Hibberd ex Edvardsen & Eikrem in Edvardsen et al 2000	Chromista	Chromista - Haptophyta	Artsnavnebase 20170303
Coccolithophyceae	Class	Rothmaler, 1951	Haptophyta	Chromista - Haptophyta - Coccolithophyceae	Artsnavnebase 20170303
Coccolithales	Order	Schwarz	Coccolithophyceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales	Artsnavnebase 20170303
Calcidiscaceae	Family	J.R.Young & P.A.Bown	Coccolithales	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Calcidiscaceae	Artsnavnebase 20170303
Calcidiscus	Genus	Kamptner	Calcidiscaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Calcidiscaceae - Calcidiscus	Artsnavnebase 20170303
Calcidiscus leptoporus	Species	(Murray & Blackman) Loeblich & Tappan	Calcidiscus	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Calcidiscaceae - Calcidiscus leptoporus	Artsnavnebase 20170303
Coccolithophora	Genus		Calcidiscaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Calcidiscaceae - Coccolithophora	Artsnavnebase 20170303
Cyclococcolithus	Genus		Calcidiscaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Calcidiscaceae - Cyclococcolithus	Artsnavnebase 20170303
Oolithotus	Genus	P.Reinh. in Cohen & P.Reinh.	Calcidiscaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Calcidiscaceae - Oolithotus	Artsnavnebase 20170303
Oolithotus fragilis	Species	(Lohmann) Martini & Müller	Oolithotus	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Calcidiscaceae - Oolithotus fragilis	Artsnavnebase 20170303
Umbilicosphaera 	Genus	Lohmann, 1902	Calcidiscaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Calcidiscaceae - Umbilicosphaera 	Artsnavnebase 20170303
Umbilicosphaera hulburtiana	Genus	Gaarder 1970	Calcidiscaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Calcidiscaceae - Umbilicosphaera hulburtiana	Artsnavnebase 20170303
Coccolithaceae	Family	Poche	Coccolithales	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Coccolithaceae	Artsnavnebase 20170303
Coccolithus	Genus	E.H.L.Schwarz	Coccolithaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Coccolithaceae - Coccolithus	Artsnavnebase 20170303
Coccolithus pelagicus	Species		Coccolithus	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Coccolithaceae - Coccolithus pelagicus	Artsnavnebase 20170303
Coccolithus pelagicus spp. braarudii	Subspecies	(Gaarder) Geisen	pelagicus	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Coccolithaceae - Coccolithus pelagicus spp. braarudii	Artsnavnebase 20170303
Coccolithus pelagicus spp. pelagicus	Subspecies	(Wallich) Schiller	pelagicus	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Coccolithaceae - Coccolithus pelagicus spp. pelagicus	Artsnavnebase 20170303
Coccosphaera	Genus		Coccolithaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Coccolithaceae - Coccosphaera	Artsnavnebase 20170303
Crystallolithus	Genus		Coccolithaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Coccolithaceae - Crystallolithus	Artsnavnebase 20170303
Hymenomonadaceae	Family	Senn	Coccolithales	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Hymenomonadaceae	Artsnavnebase 20170303
Hymenomonas	Genus	F.Stein	Hymenomonadaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Hymenomonadaceae - Hymenomonas	Artsnavnebase 20170303
Hymenomonas coronata	Species	Mills	Hymenomonas	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Hymenomonadaceae - Hymenomonas coronata	Artsnavnebase 20170303
Hymenomonas roseola	Species	F.Stein	Hymenomonas	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Hymenomonadaceae - Hymenomonas roseola	Artsnavnebase 20170303
Ochrosphaera	Genus	Schussnig	Hymenomonadaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Hymenomonadaceae - Ochrosphaera	Artsnavnebase 20170303
Ochrosphaera neapolitana	Species	Schussnig	Ochrosphaera	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Hymenomonadaceae - Ochrosphaera neapolitana	Artsnavnebase 20170303
Pleurochrysidaceae	Family	J.Fresnel & C.Billard	Coccolithales	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Pleurochrysidaceae	Artsnavnebase 20170303
Chrysotila	Genus	Anand, 1937	Pleurochrysidaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Pleurochrysidaceae - Chrysotila	Artsnavnebase 20170303
Pleurochrysis	Genus	E.G.Pringsh.	Pleurochrysidaceae	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Pleurochrysidaceae - Pleurochrysis	Artsnavnebase 20170303
Pleurochrysis dentata	Species	(Johansen & Doucette) Probert	Pleurochrysis	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Pleurochrysidaceae - Pleurochrysis dentata	Artsnavnebase 20170303
Pleurochrysis gayraliae	Species	(Beuffe) Jordan et al.	Pleurochrysis	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Pleurochrysidaceae - Pleurochrysis gayraliae	Artsnavnebase 20170303
Pleurochrysis placolithoides	Species	Fresnel & Billard	Pleurochrysis	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Pleurochrysidaceae - Pleurochrysis placolithoides	Artsnavnebase 20170303
Pleurochrysis pseudoroscoffensis	Species	Gayral & Fresnel	Pleurochrysis	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Pleurochrysidaceae - Pleurochrysis pseudoroscoffensis	Artsnavnebase 20170303
Pleurochrysis roscoffensis	Species	(Dangeard) Fresnel & Billard	Pleurochrysis	Chromista - Haptophyta - Coccolithophyceae - Coccolithales - Pleurochrysidaceae - Pleurochrysis roscoffensis	Artsnavnebase 20170303
Incertae sedis	Order		Coccolithophyceae	Chromista - Haptophyta - Coccolithophyceae - Incertae sedis	Artsnavnebase 20170303
Ceratolithaceae	Family	Norris	Incertae sedis	Chromista - Haptophyta - Coccolithophyceae - Incertae sedis - Ceratolithaceae	Artsnavnebase 20170303
Ericiolus	Genus	H.A.Thomsen	Ceratolithaceae	Chromista - Haptophyta - Coccolithophyceae - Incertae sedis - Ceratolithaceae - Ericiolus	Artsnavnebase 20170303
Ericiolus frigidus	Species	Thomsen	Ericiolus	Chromista - Haptophyta - Coccolithophyceae - Incertae sedis - Ceratolithaceae - Ericiolus frigidus	Artsnavnebase 20170303
Ericiolus spiculiger	Species	Thomsen	Ericiolus	Chromista - Haptophyta - Coccolithophyceae - Incertae sedis - Ceratolithaceae - Ericiolus spiculiger	Artsnavnebase 20170303
Incertae sedis	Family		Incertae sedis	Chromista - Haptophyta - Coccolithophyceae - Incertae sedis - Incertae sedis	Artsnavnebase 20170303
Umbellosphaera	Genus	Paasche in Markali & Paasche	Incertae sedis	Chromista - Haptophyta - Coccolithophyceae - Incertae sedis - Incertae sedis - Umbellosphaera	Artsnavnebase 20170303
Umbellosphaera irregularis	Species	Paasche	Umbellosphaera	Chromista - Haptophyta - Coccolithophyceae - Incertae sedis - Incertae sedis - Umbellosphaera irregularis	Artsnavnebase 20170303
