scientific_name	rank	author	parent	classification	source
Pinnularia graciloides var. triundulata	Variety	(Fontell) Krammer	graciloides	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia graciloides var. triundulata	Artsnavnebase 20170303
Pinnularia grunowii	Species	Krammer	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia grunowii	Artsnavnebase 20170303
Pinnularia hemiptera	Species	(Kützing) Rabenhorst, 1853	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia hemiptera	Artsnavnebase 20170303
Pinnularia intermedia	Species	(Lagerst.) Cleve	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia intermedia	Artsnavnebase 20170303
Pinnularia interrupta	Species	W.Sm.	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia interrupta	Artsnavnebase 20170303
Pinnularia interrupta var. minutissima	Variety	Hust.	interrupta	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia interrupta var. minutissima	Artsnavnebase 20170303
Pinnularia interruptiformis	Species	Krammer	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia interruptiformis	Artsnavnebase 20170303
Pinnularia irrorata	Species	(Grunow) Hust.	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia irrorata	Artsnavnebase 20170303
Pinnularia isselana	Species	Krammer	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia isselana	Artsnavnebase 20170303
Pinnularia ivaloensis	Species	Krammer	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia ivaloensis	Artsnavnebase 20170303
Pinnularia krammeri	Species	Metzeltin	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia krammeri	Artsnavnebase 20170303
Pinnularia krookii	Species	(Grunow) Cleve	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia krookii	Artsnavnebase 20170303
Pinnularia kuetzingii	Species	Krammer	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia kuetzingii	Artsnavnebase 20170303
Pinnularia lange-bertalotii	Species	Krammer	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia lange-bertalotii	Artsnavnebase 20170303
Pinnularia lokana	Species	Krammer	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia lokana	Artsnavnebase 20170303
Pinnularia lundii	Species	Hust.	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia lundii	Artsnavnebase 20170303
Pinnularia lundii var. linearis	Variety	Krammer	lundii	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia lundii var. linearis	Artsnavnebase 20170303
Pinnularia lundii var. lundii	Variety	Hust.	lundii	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia lundii var. lundii	Artsnavnebase 20170303
Pinnularia macilenta	Species	Ehrenb.	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia macilenta	Artsnavnebase 20170303
Pinnularia maior	Species	(Kützing) Cleve	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia maior	Artsnavnebase 20170303
Pinnularia major	Species	(Kütz.) W.Sm.	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia major	Artsnavnebase 20170303
Pinnularia marchica	Species	I.Schönfelder	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia marchica	Artsnavnebase 20170303
Pinnularia mesolepta	Species	(Ehrenb.) W.Sm.	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia mesolepta	Artsnavnebase 20170303
Pinnularia microstauron	Species	(Ehrenb.) Cleve	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia microstauron	Artsnavnebase 20170303
Pinnularia microstauron var. microstauron	Variety	(Ehrenb.) Cleve	microstauron	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia microstauron var. microstauron	Artsnavnebase 20170303
Pinnularia microstauron var. nonfasciata	Variety	Krammer	microstauron	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia microstauron var. nonfasciata	Artsnavnebase 20170303
Pinnularia microstauron var. rostrata	Variety	Krammer	microstauron	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia microstauron var. rostrata	Artsnavnebase 20170303
Pinnularia neomajor	Species	Krammer	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia neomajor	Artsnavnebase 20170303
Pinnularia nobilis	Species	Ehrenberg, 1832	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia nobilis	Artsnavnebase 20170303
Pinnularia nodosa	Species	(Ehrenb.) W.Sm.	Pinnularia	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia nodosa	Artsnavnebase 20170303
Pinnularia nodosa var. nodosa	Variety	(Ehrenb.) W.Sm.	nodosa	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia nodosa var. nodosa	Artsnavnebase 20170303
Pinnularia nodosa var. percapitata	Variety	Krammer	nodosa	Chromista - Bacillariophyta - Bacillariophyceae - Naviculales - Pinnulariaceae - Pinnularia nodosa var. percapitata	Artsnavnebase 20170303
