kingdom	phylum	class_name	order	family	genus	species	subspecies	variety	forma	author	status	status-2
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Epicladia	testarum				(Kylin) R. Nielsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Epicladia	cyclostoma				(Waern) R.Nielsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Acrochaete	heteroclada				J.A. Correa & R. Nielsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Acrochaete	inflata				(Ercegovic) Gallardo	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Acrochaete	leptochaete				(Huber) R. Nielsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Acrochaete	repens				Pringsheim	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Acrochaete	viridis				(Reinke) R. Nielsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Acrochaete	wittrockii				(Wille) R. Nielsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Acrochaete	cladophorae				(Hornby) R.Nielsen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvellaceae	Acrochaete	flustrae				(Reinke) O'Kelly	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulvaria					Rupr.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ochlochaete					Thwaites	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Percursaria					Bory	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ruthnielsenia					O'Kelly, B.Wynsor & W.K.Bellows	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva					L.	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Enteromorpha						Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	clathrata				(Roth) C. Agardh	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	compressa				Linnaeus	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	flexuosa				Wulfen	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	intestinalis				Linnaeus	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	kylinii				(Bliding) Hayden, Blomster, Maggs, P.C. Silva, M.J. Stanhope & J.R. Waaland	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	lactuca				Linnaeus	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	linza				Linnaeus	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	prolifera				O.F. Müller	Gyldig	Ingen_bistatus
Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva	rigida				C.Agardh	Gyldig	Ingen_bistatus
